instant,dteday,season,year,month,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual_x,registered_x,count_x,status,casual_y,registered_y,count_y,day_type
1,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Active,331,654,985,Weekend
2,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Senin,Bukan Hari Kerja,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Active,131,670,801,Weekend
3,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Selasa,Hari Kerja,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Active,120,1229,1349,Weekend
4,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Rabu,Hari Kerja,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Active,108,1454,1562,Weekend
5,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Kamis,Hari Kerja,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Active,82,1518,1600,Weekend
6,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Jumat,Hari Kerja,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Active,88,1518,1606,Weekend
7,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Active,148,1362,1510,Weekend
8,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.165,0.162254,0.535833,0.266804,68,891,959,Active,68,891,959,Weekend
9,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Active,54,768,822,Weekend
10,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Selasa,Hari Kerja,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Active,41,1280,1321,Weekend
11,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Rabu,Hari Kerja,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Active,43,1220,1263,Weekend
12,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Kamis,Hari Kerja,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Active,25,1137,1162,Weekend
13,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Jumat,Hari Kerja,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Active,38,1368,1406,Weekend
14,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Active,54,1367,1421,Weekend
15,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Minggu,Bukan Hari Kerja,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Active,222,1026,1248,Weekend
16,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Active,251,953,1204,Weekend
17,2011-01-01,Musim Semi,0,1,Hari Libur,Selasa,Bukan Hari Kerja,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Active,117,883,1000,Weekend
18,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Rabu,Hari Kerja,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Active,9,674,683,Weekend
19,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Kamis,Hari Kerja,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Active,78,1572,1650,Weekend
20,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Jumat,Hari Kerja,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Active,83,1844,1927,Weekend
21,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Sabtu,Hari Kerja,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Active,75,1468,1543,Weekend
22,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Minggu,Bukan Hari Kerja,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Active,93,888,981,Weekend
23,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Senin,Bukan Hari Kerja,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Active,150,836,986,Weekend
24,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Selasa,Hari Kerja,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Active,86,1330,1416,Weekend
25,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Rabu,Hari Kerja,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Active,186,1799,1985,Weekend
26,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Kamis,Hari Kerja,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Active,34,472,506,Weekend
27,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Jumat,Hari Kerja,1,0.195,0.2197,0.6875,0.113837,15,416,431,Active,15,416,431,Weekend
28,2011-01-01,Musim Semi,0,1,Bukan Hari Libur,Sabtu,Hari Kerja,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Active,38,1129,1167,Weekend
